codigo_region,ano_trimestre,mes_central,region,Occupied,Unoccupied,Inactive,Occupied_Male,Unoccupied_Male,Inactive_Male,Occupied_Female,Unoccupied_Female,Inactive_Female,Formal,Informal,Commerce,Manufacturing,Naturales_Resources,Services,Transport_Comunication,Large,Medium,Small,Occupied_Regular,Occupied_Irregular,Occupied_Absent,Occupied_Absent_Male,Occupied_Absent_Female,Labor_Force,WorkingAgePop,N,Participation_Rate,PC_Occupied,PC_Unoccupied,PC_Inactive,PC_Occupied_Male,PC_Unoccupied_Male,PC_Inactive_Male,PC_Occupied_Female,PC_Unoccupied_Female,PC_Inactive_Female,PC_Formal,PC_Informal,PC_Commerce,PC_Manufacturing,PC_Naturales_Resources,PC_Services,PC_Transport_Comunication,PC_Large,PC_Medium,PC_Small,PC_Occupied_Regular,PC_Occupied_Irregular,PC_Occupied_Absent,PC_Occupied_Absent_Male,PC_Occupied_Absent_Female,PC_Labor_Force,mes_cuarentena_max,diasEn_cuarentena_max,mes_cuarentena_mean,diasEn_cuarentena_mean,lockdown_per,lockdown_days_per,pop,PET,Personas_Urbanas,Viviendas_Urbanas,percent_urban_WA,IM,mov_reduc,ads_total_stock,ads_total_acumulada,sales_level,total_dependent_workers,total_trab_region,per_LPE_region
01,2018,9,1,161194.202410893,14657.5251492057,98682.2725313606,95667.8278869073,9582.75284975435,33190.4193448082,65526.3745239853,5074.77229945133,65491.8531865525,104765.293594572,56428.908816321,48289.1064219361,22229.4533630233,19161.3565086064,55518.2136548801,15996.0724624467,63233.5965898596,21127.119298011,74105.1415956239,143172.448399717,7787.17539698289,10234.5786141926,5925.03738985552,4309.5412243371,175851.727560098,274534.000091459,2625,0.640546262034993,1.0008420812424,1.11235920343081,1.10864690984463,1.01381375631301,1.3678399011707,1.05259669753831,0.982488735948558,0.822329527778816,1.13939477314727,0.961862241292604,1.08227106297304,0.944923155491814,0.957607671776079,0.967170890151314,1.04356548357973,1.16512652437957,1.02904184974833,0.83519514512087,1.05255473288305,1.01231387439149,0.755946615387814,1.09736921150503,1.30818216859299,0.898335105493255,1.00927582458891,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2018,10,1,164284.752511618,14369.2372095077,96836.0105956658,96919.2583291594,9651.81539821352,32329.9265487835,67365.4941824588,4717.42181129423,64506.0840468823,107474.397397564,56810.3551140539,48873.8847336377,21655.6207024596,20436.0316137457,58524.4141655246,14794.8012962506,64152.0626148583,21275.7173947779,74298.6531910229,146609.189491476,7655.36586210166,10020.1971580405,5952.47304910762,4067.72410893293,178653.989721126,275490.000316792,2608,0.648495370124824,1.00319782913079,1.22617673459357,1.09180872647023,1.02433501259762,1.20275634364915,1.05249214973442,0.974273805498071,1.27705476642467,1.11263998627241,0.963320277876701,1.08843686677119,0.914358392724504,1.09853908764995,0.972020795282947,1.06408898409425,1.01524940388701,0.985414482453035,0.884940511619746,1.06095892065657,1.01918597152406,0.761936048169102,1.01578187799006,1.17449948226792,0.848074482575218,1.01808860334295,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2018,11,1,165742.395718172,12033.3928804983,98702.2120506021,99498.8821590001,6609.04348286347,33281.0749244169,66243.5135591718,5424.34939763487,65421.1371261852,106572.659077534,59169.7366406379,50819.7403550947,21835.512584738,20174.0227814171,57288.6039199074,15624.5160770147,63622.5446856145,19468.8915225556,77537.8719513614,147229.376618201,7898.33166579999,10614.6874341713,5938.02901097646,4676.65842319487,177775.78859867,276478.000649272,2593,0.643001570400492,1.00335687539171,1.0165639334903,1.12048520069251,1.05335605686464,0.780636299592344,1.07723667750659,0.936582680195371,1.60907682380491,1.1438470579543,0.963914738503084,1.08318791538253,0.955079237993855,1.0735795623217,0.939881325075366,1.00726317468376,1.17486531474026,0.962561299600753,0.808861392933552,1.09468103519376,0.999089509313202,0.786719156387287,1.36352347220605,1.32553181057116,1.41501869926224,1.00424000489012,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2018,12,1,164735.527217964,13574.5708482378,99136.9051102441,95517.6363123191,7910.82199915453,36437.5443378311,69217.8909056445,5663.7488490833,62699.3607724129,102904.883923153,61830.6432948103,47865.0101184906,22222.8575006003,20843.2345619142,58953.5063480156,14850.9186889429,62273.0614333327,19186.8602263632,78356.5223078892,140518.756513606,11629.8351323997,12586.9355719575,5954.24502698477,6632.69054497276,178310.098066201,277447.003176446,2617,0.642681650999139,1.01718503911104,1.11103203791644,1.07919794150045,1.02317534124266,0.992047767061205,1.10598967545048,1.00903294446634,1.33460998558023,1.06421608764547,0.932068763474936,1.19948753764387,0.945253685843426,1.07625322364827,1.00145294503096,1.04055377001431,1.12524741152448,0.954688542822294,0.799186137598455,1.14003866774877,1.00284261501456,1.26818239988965,0.994115150182155,0.903830109019865,1.09204287203857,1.02376836999022,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,1,1,157599.417184067,11683.5476312027,109159.0365034,93188.6642146588,6378.49967793401,40782.8372135226,64410.7529694084,5305.04795326867,68376.1992898778,102328.977261529,55270.4399225387,45631.0020083173,24544.452023692,17947.735001203,54659.5533844826,14816.6747663723,60320.6017489915,19293.3727574132,74217.8012136116,126326.175650361,10826.0410270255,20447.2005066807,10378.4004031769,10068.8001035037,169282.96481527,278442.00131867,2610,0.60796490476855,0.985302491076515,0.930562145964889,1.15566814069022,1.00264138498771,0.882604257810515,1.18012971502236,0.961252335983358,0.995606720267852,1.14155499012952,0.946098469140574,1.06717449760815,0.892053747550832,1.10715896795029,0.909142768158877,1.01964233467575,1.11565453732716,0.975618321978253,0.711981016373189,1.0804955099157,0.982085234338244,1.18422837557088,0.921963977959359,0.988244301324322,0.862348912779012,0.981318360620461,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,2,1,161090.142479965,12539.0428336496,105769.815053314,94030.50997526,7575.21768502289,39217.2726519005,67059.6325047047,4963.82514862675,66552.5424014139,105575.275003703,55514.8674762621,45159.2623073115,25361.8218869413,18664.4410527062,56096.2956043939,15808.3216286118,62368.7455243547,19496.405906684,76083.609268093,127638.292517797,11664.5375931694,21787.3123689979,10884.6921049475,10902.6202640504,173629.185313614,279399.000366929,2594,0.621438104952383,1.0284492887132,0.829182017156946,1.10038424173011,1.01451126923916,0.891546241803282,1.15376285690376,1.04865074525881,0.749204041477927,1.07118130875771,1.00488925810151,1.07644499689485,0.850432706763144,1.24029688087419,0.908766769040604,1.13198012656546,1.21694134095906,1.03422701170925,0.705211166325006,1.14378017627888,1.01656092885476,1.4283857226531,0.951043142014379,1.03646582022108,0.878738971395504,1.01090490720238,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,3,1,165010.880249418,12254.5361943635,103111.583675806,98616.2397085169,6110.81595505312,36571.9444478885,66394.6405409011,6143.72023931033,66539.6392279177,111222.280228399,53788.6000210191,45611.4276087715,27358.3113872395,19188.7525480489,57153.0424628603,15699.3462424978,65238.5744762599,21157.9942522935,75492.6124224168,134307.12339221,11165.3140271026,19538.4428301054,10417.1199781537,9121.32285195175,177265.416443781,280377.000119588,2567,0.632239507406718,1.04510501996178,0.754696512588357,1.08889224449203,1.04903283234056,0.613849289703494,1.15455338959548,1.03932501185914,0.977865223233605,1.05588725571549,1.06516977492942,1.00592347792101,0.85534920401477,1.37523099723907,0.933192415657046,1.1511022003772,1.0858920817189,1.08552209155685,0.75624897444238,1.11697453132535,1.0310859740166,1.14360605727097,1.09348181605207,1.19558148343876,0.996312210845839,1.01802382661911,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,4,1,175851.620481185,13387.4807430637,92126.8988295503,103911.009111463,7479.02131934052,30389.9696194927,71940.6113697222,5908.45942372321,61736.9292100576,114731.481703341,61120.1387778444,48057.2912040833,29924.3753190169,22566.2198997851,59923.3534747079,15380.3805835924,67326.4112172358,22159.3859507937,82528.8421423031,150251.503102222,13421.1675054169,12178.9498735467,6957.68811940525,5221.2617541415,189239.10122425,281366.0000538,2561,0.672572738668018,1.11090681546119,0.862638058317909,0.960273328042292,1.12142203146221,0.81191645528255,0.887910289209397,1.09606210554124,0.936710660928556,1.00040707462557,1.16344830952944,1.02409223530962,0.977841509783389,1.38459617962392,1.04033273490512,1.15193384910258,1.11244211923083,1.10071130196997,0.916994387100355,1.17436614679137,1.10140916734115,1.01487592695678,1.40738444286095,1.36005473725974,1.47582305560742,1.0887398843906,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,5,1,175960.937432035,13702.6581274762,92671.4044920138,102701.115116107,8662.53749539076,30885.3474377386,73259.8223159286,5040.12063208541,61786.0570542752,117411.067857697,58549.8695743385,50026.0315707402,29382.1136598906,22896.9378216448,59275.0902228732,14380.7641568864,66268.9149674413,23752.1125745108,81129.7017726478,153295.301739352,12088.9441304475,10576.6915622361,6173.97353032779,4402.71803190836,189663.595559511,282335.000051525,2576,0.671767919403893,1.12180549384867,0.882975676487597,0.942499479734203,1.12340348272847,0.851457151912473,0.883357076464837,1.11957295161883,0.942969261397875,0.975134913698731,1.18710075587825,1.01036212056836,1.05148034641886,1.41118438516481,1.07315716024502,1.10856407677333,1.05343827790228,1.07168467864214,1.04974509043089,1.1675878469527,1.12810403945932,0.979373916587507,1.22642214932087,1.2935775062602,1.14319725176255,1.10030377142846,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
01,2019,6,1,180008.670226092,11513.8900807094,91779.4396952578,103489.357302694,8197.05127654316,31036.591422755,76519.3129233978,3316.83880416628,60742.8482725028,119670.871651577,60337.7985745149,52373.5255705803,27596.838015778,22632.3078328896,60414.0084248529,16991.990381991,63666.8150752029,23053.3525716179,88247.1721680179,156375.415577462,12058.1832399254,11575.0714087048,5818.00018237878,5757.07122632602,191522.560306801,283302.000002059,2583,0.676036739258491,1.13488063798856,0.79288631051515,0.932037015777703,1.14988994463317,0.882070813262667,0.822865893623293,1.11519365027494,0.634373530434993,0.999813087959011,1.2070396463689,1.01458337251131,1.07594603305215,1.31700934693655,1.12977471457867,1.09814260157849,1.21924980502028,1.02141688726816,0.942439561619994,1.29297968315857,1.16120106236839,1.0131637608225,0.960893471741611,0.920440332689685,1.00555510378517,1.1061964613599,,,,,,,330558,253355,302345,101414,0.954610083555685,,,,,,,,
